Name,MAIN CATEGORY,MAIN TYPE,URL
Narrat,Game Dev,Project,https://get-narrat.com/
Legendary JRPG Battle Music Pack FREE by YouFulca,Game Dev,,https://youfulca.itch.io/legendary-jrpg-battle-music-pack
Oak Woods — Environment Asset 🍂 by brullov,Game Dev,,https://brullov.itch.io/oak-woods
Twinmotion Backyard Pack 1,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/twinmotion-backyard-pack-1
Trade Shop plugin for RMMV by TWings,Game Dev,,https://twings.itch.io/trade-shop-plugin-for-rmmv
"Tiled Plugin for RPG Maker MV by Archeia, Dr.Yami",Game Dev,,https://archeia.itch.io/tiled-plugin-for-rpg-maker-mv
PIXEL FANTASY RPG ICONS - Complete Free Collection,Game Dev,,https://cazwolf.itch.io/caz-pixel-free
BravelyTitleScreen,Game Dev,,https://critcap.itch.io/bravelytitlescreen
UAV MQ-1 Predator (West) in Props - UE Marketplace,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/uav-mq-1-predator-west
SSave by stoozey_,Game Dev,,https://stoozey.itch.io/ssave
Cityscape Assets,Game Dev,,https://slothfulmedia.itch.io/cityscape-assets
UI COLORFUL PIXEL ART by The Chasms,Game Dev,,https://thechasms.itch.io/ui-colorful-pixel-art
Smart Help Windows,Game Dev,,https://taaspider.itch.io/taa-smarthelpwindows
Visual Move Route - Utility for RPG MAKER MV by BlueMoon (Nebula Games),Game Dev,,https://nebula-games.itch.io/visual-move-route
Ocean's Nostalgia - Icons Pack 1 by Oceans Dream,Game Dev,,https://oceansdream.itch.io/nostalgia-icons1
Event Templates ,Game Dev,,https://taaspider.itch.io/taa-eventtemplates
Free TopDown RPG Dungeon Tileset - Fantasy Dreamland! by ELV Games,Game Dev,,https://elv-games.itch.io/free-fantasy-dreamland-dungeon
The Free Archives Vol.1,Game Dev,,https://dreams-circle.itch.io/fa-01
RPG Maker MV: Stat Level System,Game Dev,,https://notritter.itch.io/rpg-maker-mv-stat-level-system
Hakuen Studio Map Reveal for RPG Maker MV MZ,Game Dev,,https://hakuenstudio.itch.io/eli-reveal-map-rpg-maker-mv
Emphasize Objects with Collision [Graphics] - YouTube - https://www.youtube.com/watch?v=FfPN4ZGgBpo - Masahiro Sakurai on Creating Games,Game Dev,,https://www.youtube.com/watch?v=FfPN4ZGgBpo
Pixel UI Sound Effect Pack [SFX] by JDSherbert,Game Dev,,https://jdsherbert.itch.io/pixel-ui-sfx-pack
Ultimate UI Sound Effect Pack [SFX] by JDSherbert,Game Dev,,https://jdsherbert.itch.io/ultimate-ui-sfx-pack
Pattern Pack · Kenney,Game Dev,,https://www.kenney.nl/assets/pattern-pack
Sketch Town · Kenney,Game Dev,,https://www.kenney.nl/assets/sketch-town
Playing Cards Pack · Kenney,Game Dev,,https://www.kenney.nl/assets/playing-cards-pack
Roguelike Caves & Dungeons · Kenney,Game Dev,,https://www.kenney.nl/assets/roguelike-caves-dungeons
Smoke Particles · Kenney,Game Dev,,https://www.kenney.nl/assets/smoke-particles
[READY] How to make a Video Game - Godot Beginner Tutorial - YouTube - Brackeys,Game Dev,Project,https://www.youtube.com/watch?v=LOhfqjmasi0
Paragon: Gideon in Epic Content - UE Marketplace,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/paragon-gideon
tildearrow/furnace: a multi-system chiptune tracker compatible with DefleMask modules,Game Dev,,https://github.com/tildearrow/furnace
"Game Development Articles, Publications, Papers, Resources - GameDevs.org",Game Dev,,https://www.gamedevs.org/
Articles - RogueBasin,Game Dev,,https://www.roguebasin.com/index.php?title=Articles
All Packets,Game Dev,,https://bnetdocs.org/packet/index?order=packet-id-asc&pktapplayer%5B%5D=4
A Guide to the Graphics of the Sega Mega Drive / Genesis – Raster Scroll Books,Game Dev,,https://rasterscroll.com/mdgraphics/
ゲーム・その他 - TAM Music Factory,Game Dev,,https://www.tam-music.com/m000_category/etc
全曲リスト n**　-　H/MIX GALLERY,Game Dev,,http://www.hmix.net/music_gallery/list/list_n.htm
[READY] CHARAT Avatar Makers,Game Dev,Project,https://charat.me/
ホラー効果音 - フリーBGM｜無料ゲーム音楽 ユーフルカ,Game Dev,,https://youfulca.com/2022/08/06/horror_sfx/
8bit（ファミコン風）BGM - フリーBGM｜無料ゲーム音楽 ユーフルカ,Game Dev,,https://youfulca.com/category/music_assets/8bit/
ホラーBGM - フリーBGM｜無料ゲーム音楽 ユーフルカ,Game Dev,,https://youfulca.com/category/music_assets/horror/
"Library - Free Textures, HDRI, 3D models, Photos",Game Dev,,https://library.pbrpx.com/#/asset?asset=602
Forest Landscape Materials Vol.I in Materials - UE Marketplace,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/forest-landscape-materials-vol-i
temperate Vegetation: Meadow Flowers in Props - UE Marketplace,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/dynamic-meadow-flowers
tropical Vegetation: Banana Plants in Props - UE Marketplace,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/banana-plants
Vehicle Variety Pack in Blueprints - UE Marketplace,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/bbcb90a03f844edbb20c8b89ee16ea32
Procedural Building Generator in Blueprints - UE Marketplace,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/procedural-building-generator
FANTASTIC - Village Pack in Props - UE Marketplace,Game Dev,,https://www.unrealengine.com/marketplace/en-US/product/fantastic-village-pack
Underwater Diving by ansimuz,Game Dev,,https://ansimuz.itch.io/underwater-diving
Free 3D Modular Low Poly Assets For Prototyping by RGS_Dev,Game Dev,,https://rgsdev.itch.io/free-3d-modular-low-poly-assets-for-prototyping-by-rgsdev
Tiny Wonder Farm Asset Pack by Butter Milk,Game Dev,,https://butterymilk.itch.io/tiny-wonder-farm-asset-pack
Minifantasy⛓️Dungeon by Krishna Palacio,Game Dev,,https://krishna-palacio.itch.io/minifantasy-dungeon
Classic64 Lowpoly Asset Library by craigsnedeker,Game Dev,,https://craigsnedeker.itch.io/classic64-asset-library
Top-Down Retro Interior | [Pixel Art] by Penzilla,Game Dev,,https://penzilla.itch.io/top-down-retro-interior
Tiny Wonder Forest Asset Pack by Butter Milk,Game Dev,,https://butterymilk.itch.io/tiny-wonder-forest
ボイス・鳴き声 | 魔王魂,Game Dev,,https://maou.audio/category/se/se-voice/
Fire Animation - Pixel Art FX Sprites 🔥 by brullov,Game Dev,,https://brullov.itch.io/fire-animation
Pixel Fantasy Caves by Szadi art.,Game Dev,,https://szadiart.itch.io/pixel-fantasy-caves
Mountain Dusk Parallax background by ansimuz,Game Dev,,https://ansimuz.itch.io/mountain-dusk-parallax-background
Shikashi's Fantasy Icons Pack (FREE) by shikashipx,Game Dev,,https://shikashipx.itch.io/shikashis-fantasy-icons-pack
Sunnyside World by danieldiggle,Game Dev,,https://danieldiggle.itch.io/sunnyside
Tiny RPG Character Asset Pack v1.03 by Zerie,Game Dev,,https://zerie.itch.io/tiny-rpg-character-asset-pack
[READY] Recreating the Dreamy Digicam Look in Unreal - YouTube - Jam2go,Game Dev,Project,https://www.youtube.com/watch?v=xsy27MCbJWM
[READY] Unreal Engine 5 C++ Tutorial - Flappy Bird #1 - Player Character and Input Setup - YouTube - CodeLikeMe,Game Dev,Project,https://www.youtube.com/watch?v=2jt9WRixPoE
UE5 Open World RPG,Game Dev,Project,https://www.youtube.com/playlist?list=PLiSlOaRBfgkcPAhYpGps16PT_9f28amXi
[READY] Unreal Engine 5 GTA 6 Tutorial Series - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PLiSlOaRBfgkdUcw9PBcsnZWNNbE_be5XK
[READY] Simple Building System in Unreal Engine 5 - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PLiSlOaRBfgke5PMd6ynKxBobgNMl9hDH-
[READY] Ark 2 in Unreal Engine 5 (Devlogs and Tutorials) - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PLiSlOaRBfgkcm6lZqV1K8b5XEyaUng-x-
[READY] Godot 3 2D Platform Game - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PL9FzW-m48fn2jlBu_0DRh7PvAt-GULEmd
[READY] Godot Mobile RPG - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PL9FzW-m48fn1JgK_mavg7ym6nvchF9Yjb
Godot Action RPG Series - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PL9FzW-m48fn2SlrW0KoLT4n5egNdX-W9a
Heart Platformer - Godot 4 Tutorial Series - YouTube,Game Dev,,https://www.youtube.com/playlist?list=PL9FzW-m48fn0i9GYBoTY-SI3yOBZjH1kJ
Space Shooter Godot 4 Tutorial Using Components - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PL9FzW-m48fn09w6j8NowI_pSBVcsb3V78
[READY] Unreal Engine 5 C++ Flappy Bird - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PLNTm9yU0zou4CD6v3ZiAlgl3_gy70nGaS
[READY] Unreal Engine 5 Open World - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PLNTm9yU0zou5u1UW2E5iVdF5HlGET0hYL
[READY] Unreal Engine 5 - Real Time Strategy Game Tutorial Series - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PLNTm9yU0zou4Eulmi8YIfzHiNZEzfbSMk
Unreal Engine Action RPG with Gameplay Ability System - YouTube,Game Dev,Project,https://www.youtube.com/playlist?list=PLNTm9yU0zou7XnRx5MfBbZnfMZJqC6ixz
Unity Tower Defense Tutorials,Game Dev,Project,https://catlikecoding.com/unity/tutorials/tower-defense/
[READY] Unity Hex Map Tutorials,Game Dev,Project,https://catlikecoding.com/unity/tutorials/hex-map/
Make a 2D Top Down Game in Unreal Engine 5 - Tutorial - YouTube - Cobra Code,Game Dev,Project,https://www.youtube.com/watch?v=z1RMDMKcROQ
Pixel Platformer Tutorial / Code Along (Character Basics) - Godot Engine - YouTube - Heartbeast,Game Dev,Project,https://www.youtube.com/watch?v=f3WGFwCduY0&list=PL9FzW-m48fn16W1Sz5bhTd1ArQQv4f-Cm
[READY] Runner 2,Game Dev,Project,https://catlikecoding.com/unity/tutorials/prototypes/runner-2/
Paddle Square,Game Dev,,https://catlikecoding.com/unity/tutorials/prototypes/paddle-square/
How To Make A Roulette Game In Unreal Engine 5 | Project Setup | Part 1 - YouTube - RubaDev,Game Dev,Project,https://www.youtube.com/watch?v=-YVb5F3gIFE
Full WALL RUN TUTORIAL for Unreal Engine 5 - YouTube - Unreal Axis,Game Dev,Project,https://www.youtube.com/watch?v=O-m1tARfNRU
How To Make a Idle Clicker Game In Unreal Engine 5 | Project Setup | Part 1 - YouTube - RubaDev,Game Dev,Project,https://www.youtube.com/watch?v=-HHMeMq6VNw
[READY] The Unity Tutorial For Complete Beginners - YouTube - Game Maker's Toolkit,Game Dev,Project,https://www.youtube.com/watch?v=XtQMytORBmM
Algorithms for Procedural Content Generation - Procedural Content Generation Wiki,Game Dev,,http://pcg.wikidot.com/category-pcg-algorithms
物音 | 魔王魂,Game Dev,,https://maou.audio/category/se/se-sounds/
The No Twinkie Database!,Game Dev,,http://www.designersnotebook.com/Design_Resources/No_Twinkie_Database/no_twinkie_database.htm
東方アレンジ - フリーBGM｜無料ゲーム音楽 ユーフルカ,Game Dev,,https://youfulca.com/category/music_assets/touhou/
Figure out how to get the FAD on drive into notion,Game Dev,,https://drive.google.com/drive/u/0/folders/1kesU4mzpofag6gtPzxwv2N0gDoFkmzj6
【通常戦闘】The Impalpable Force - フリーBGM｜無料ゲーム音楽 ユーフルカ,Game Dev,,https://youfulca.com/2022/08/14/battle_the-impalpable-force/
【メインテーマ】～明日への希望～ - フリーBGM｜無料ゲーム音楽 ユーフルカ,Game Dev,,https://youfulca.com/2022/08/11/maintheme01/
不思議な森(Mysterious forest) @ フリーBGM DOVA-SYNDROME OFFICIAL YouTube CHANNEL - YouTube - DOVA-SYNDROME YouTube Official,Game Dev,,https://www.youtube.com/watch?v=7VfFDhFGHFw
ゾンビホラーパニック @ フリーBGM DOVA-SYNDROME OFFICIAL YouTube CHANNEL - YouTube - DOVA-SYNDROME YouTube Official,Game Dev,,https://www.youtube.com/watch?v=P-iYw6jcZRk
Energetic sign (Instrumental) @ フリーBGM DOVA-SYNDROME OFFICIAL YouTube CHANNEL - YouTube - DOVA-SYNDROME YouTube Official,Game Dev,,https://www.youtube.com/watch?v=xGeCO5zPOT4
